Date,Open,High,Low,Close,Adj Close,Volume
2018-06-04,13.430000,14.280000,12.840000,14.150000,14.150000,146102109
2018-06-03,14.520000,14.860000,13.250000,13.430000,13.430000,151008581
2018-06-02,14.620000,15.420000,14.250000,14.520000,14.520000,172102428
2018-06-01,12.230000,15.540000,12.110000,14.620000,14.620000,337464603
2018-05-31,12.230000,12.350000,11.890000,12.230000,12.230000,89582640
2018-05-30,11.880000,12.700000,11.820000,12.230000,12.230000,93351499
2018-05-29,12.140000,12.640000,11.680000,11.880000,11.880000,120999468
2018-05-28,11.510000,12.490000,10.710000,12.140000,12.140000,204657987
2018-05-27,12.440000,12.980000,11.300000,11.510000,11.510000,149549332
2018-05-26,12.210000,12.570000,11.940000,12.440000,12.440000,71218985
2018-05-25,12.180000,12.870000,11.850000,12.210000,12.210000,84823677
2018-05-24,12.750000,12.790000,11.560000,12.180000,12.180000,147302302
2018-05-23,10.670000,12.880000,10.340000,12.750000,12.750000,211297651
2018-05-22,12.110000,12.340000,10.460000,10.670000,10.670000,215642423
2018-05-21,13.430000,13.450000,11.940000,12.110000,12.110000,118984066
2018-05-20,13.950000,14.160000,13.110000,13.430000,13.430000,76406114
2018-05-19,13.120000,14.190000,12.930000,13.950000,13.950000,98996985
2018-05-18,12.910000,13.340000,12.470000,13.120000,13.120000,65206856
2018-05-17,12.230000,13.200000,11.910000,12.910000,12.910000,151794322
2018-05-16,12.670000,13.950000,12.000000,12.230000,12.230000,168428381
2018-05-15,12.800000,13.070000,11.830000,12.670000,12.670000,142718703
2018-05-14,13.800000,14.390000,12.400000,12.800000,12.800000,129442284
2018-05-13,14.590000,14.720000,12.940000,13.800000,13.800000,180775937
2018-05-12,13.950000,15.120000,13.410000,14.590000,14.590000,152739698
2018-05-11,14.820000,15.140000,12.070000,13.950000,13.950000,360573041
2018-05-10,17.320000,17.650000,13.920000,14.820000,14.820000,447646972
2018-05-09,17.790001,18.750000,17.320000,17.320000,17.320000,144278684
2018-05-08,17.959999,18.090000,16.990000,17.790001,17.790001,117484283
2018-05-07,17.799999,18.959999,17.680000,17.959999,17.959999,139276323
2018-05-06,17.389999,18.420000,16.620001,17.799999,17.799999,200543250
2018-05-05,17.770000,17.990000,16.549999,17.389999,17.389999,132244229
2018-05-04,17.049999,18.650000,17.020000,17.770000,17.770000,132491229
2018-05-03,17.670000,18.040001,16.240000,17.049999,17.049999,146875689
2018-05-02,19.230000,19.350000,16.860001,17.670000,17.670000,241714019
2018-05-01,18.740000,19.620001,18.180000,19.230000,19.230000,243458284
2018-04-30,17.459999,19.030001,15.920000,18.740000,18.740000,337742031
2018-04-29,21.410000,21.639999,16.520000,17.459999,17.459999,475578188
2018-04-28,18.780001,23.020000,18.740000,21.410000,21.410000,535736275
2018-04-27,16.610001,19.490000,16.440001,18.780001,18.780001,336795670
2018-04-26,15.440000,17.900000,14.770000,16.610001,16.610001,268945990
2018-04-25,14.460000,15.590000,13.850000,15.440000,15.440000,180832731
2018-04-24,15.110000,15.520000,13.370000,14.460000,14.460000,414467803
2018-04-23,11.620000,16.139999,11.610000,15.110000,15.110000,451361989
2018-04-22,11.300000,12.030000,11.230000,11.620000,11.620000,93683579
2018-04-21,11.140000,11.880000,10.750000,11.300000,11.300000,127952499
2018-04-20,11.450000,11.630000,10.220000,11.140000,11.140000,128491247
2018-04-19,9.480000,11.700000,9.460000,11.450000,11.450000,207249542
2018-04-18,9.040000,9.480000,8.900000,9.480000,9.480000,63223176
2018-04-17,8.500000,9.230000,8.450000,9.040000,9.040000,62447868
2018-04-16,8.120000,9.100000,8.090000,8.500000,8.500000,83929179
2018-04-15,8.530000,8.530000,7.810000,8.120000,8.120000,61235004
2018-04-14,8.710000,8.810000,7.810000,8.530000,8.530000,80533722
2018-04-13,8.820000,9.230000,8.110000,8.710000,8.710000,81661653
2018-04-12,8.830000,9.570000,8.600000,8.820000,8.820000,135286684
2018-04-11,8.520000,9.280000,7.860000,8.830000,8.830000,234863030
2018-04-10,6.000000,8.900000,5.970000,8.520000,8.520000,217616413
2018-04-09,5.860000,6.080000,5.750000,6.000000,6.000000,20718978
2018-04-08,5.980000,6.090000,5.750000,5.860000,5.860000,22941517
2018-04-07,5.900000,6.020000,5.840000,5.980000,5.980000,12273126
2018-04-06,5.840000,6.010000,5.780000,5.900000,5.900000,15067894
2018-04-05,6.330000,6.380000,5.670000,5.840000,5.840000,52669141
2018-04-04,5.670000,6.410000,5.410000,6.330000,6.330000,51809541
2018-04-03,6.020000,6.070000,5.500000,5.670000,5.670000,23165677
2018-04-02,5.820000,6.150000,5.740000,6.020000,6.020000,26234452
2018-04-01,5.600000,5.900000,5.500000,5.820000,5.820000,27703153
2018-03-31,5.930000,5.990000,5.120000,5.600000,5.600000,48725464
2018-03-30,6.010000,6.160000,5.860000,5.930000,5.930000,24496899
2018-03-29,5.880000,6.180000,5.700000,6.010000,6.010000,60017503
2018-03-28,6.200000,6.290000,5.750000,5.880000,5.880000,69581065
2018-03-27,5.800000,6.500000,5.620000,6.200000,6.200000,49373112
2018-03-26,5.780000,6.520000,5.180000,5.800000,5.800000,109861151
2018-03-25,6.430000,6.510000,5.260000,5.780000,5.780000,89497826
2018-03-25,6.510000,6.670000,6.370000,6.430000,6.430000,25159269
2018-03-24,6.940000,7.080000,6.480000,6.510000,6.510000,42126043
2018-03-23,6.890000,7.070000,6.220000,6.940000,6.940000,82632857
2018-03-22,6.900000,7.250000,6.140000,6.890000,6.890000,96445849
2018-03-21,5.930000,7.280000,5.840000,6.900000,6.900000,89502747
2018-03-20,6.180000,6.350000,5.340000,5.930000,5.930000,84203796
2018-03-19,4.620000,6.260000,4.520000,6.180000,6.180000,77909968
2018-03-18,4.630000,4.770000,3.890000,4.620000,4.620000,49194100
2018-03-17,5.040000,5.090000,4.530000,4.630000,4.630000,18106075
2018-03-16,5.120000,5.320000,4.860000,5.040000,5.040000,19975948
2018-03-15,5.280000,5.330000,4.790000,5.120000,5.120000,37002691
2018-03-14,5.790000,6.030000,5.160000,5.280000,5.280000,22907530
2018-03-13,5.720000,5.940000,5.540000,5.790000,5.790000,22139945
2018-03-12,6.040000,6.180000,5.580000,5.720000,5.720000,23819476
2018-03-11,5.640000,6.200000,5.410000,6.040000,6.040000,26935027
2018-03-10,6.020000,6.450000,5.610000,5.640000,5.640000,34772317
2018-03-09,6.100000,6.180000,5.210000,6.020000,6.020000,54802035
2018-03-08,6.430000,6.700000,5.880000,6.100000,6.100000,31117578
2018-03-07,7.130000,7.290000,5.950000,6.430000,6.430000,60872863
2018-03-06,7.950000,7.950000,7.020000,7.130000,7.130000,30257108
2018-03-05,8.150000,8.290000,7.940000,7.950000,7.950000,12477673
2018-03-04,7.920000,8.160000,7.740000,8.150000,8.150000,15892301
2018-03-03,8.020000,8.280000,7.870000,7.920000,7.920000,11394964
2018-03-02,8.550000,8.700000,7.920000,8.020000,8.020000,19563191
2018-03-01,8.190000,8.570000,8.090000,8.550000,8.550000,17311442
2018-02-28,8.390000,9.130000,8.170000,8.190000,8.190000,25382716
2018-02-27,7.990000,8.830000,7.860000,8.390000,8.390000,32077140
2018-02-26,7.690000,8.330000,7.390000,7.990000,7.990000,30728075
2018-02-25,7.900000,7.960000,7.470000,7.690000,7.690000,20366252
2018-02-24,8.260000,8.460000,7.620000,7.900000,7.900000,24487295
2018-02-23,7.780000,8.530000,7.610000,8.260000,8.260000,29409230
2018-02-22,8.340000,8.650000,7.580000,7.780000,7.780000,35995904
2018-02-21,8.880000,8.930000,8.090000,8.340000,8.340000,30234547
2018-02-20,9.490000,9.800000,8.780000,8.880000,8.880000,28805936
2018-02-19,9.060000,9.650000,9.020000,9.490000,9.490000,23899754
2018-02-18,10.020000,10.050000,8.900000,9.060000,9.060000,39063214
2018-02-17,9.840000,10.060000,9.730000,10.020000,10.020000,27896156
2018-02-16,9.840000,9.950000,9.340000,9.840000,9.840000,27955640
2018-02-15,9.850000,10.120000,9.450000,9.840000,9.840000,36626120
2018-02-14,8.940000,9.920000,8.940000,9.850000,9.850000,38404990
2018-02-13,9.130000,9.200000,8.540000,8.940000,8.940000,23890849
2018-02-12,8.330000,9.350000,8.330000,9.130000,9.130000,34662763
2018-02-11,8.900000,8.920000,7.960000,8.330000,8.330000,25248958
2018-02-10,9.480000,9.900000,8.400000,8.900000,8.900000,37909871
2018-02-09,8.310000,9.610000,7.930000,9.480000,9.480000,39613927
2018-02-08,7.670000,8.790000,7.640000,8.310000,8.310000,41479525
2018-02-07,8.290000,8.970000,7.380000,7.670000,7.670000,56898859
2018-02-06,7.060000,8.470000,5.800000,8.290000,8.290000,81791456
2018-02-05,8.890000,9.300000,6.820000,7.060000,7.060000,72469479
2018-02-04,10.640000,10.850000,8.380000,8.890000,8.890000,49886702
2018-02-03,10.230000,11.250000,9.150000,10.640000,10.640000,50876511
2018-02-02,10.030000,11.090000,8.410000,10.230000,10.230000,106403040
2018-02-01,11.980000,12.170000,9.750000,10.030000,10.030000,85914653
2018-01-31,11.360000,12.250000,10.310000,11.980000,11.980000,63633373
2018-01-30,13.540000,13.600000,10.870000,11.350000,11.350000,99688763
2018-01-29,14.750000,14.850000,13.300000,13.540000,13.540000,47827947
2018-01-28,14.380000,14.970000,14.090000,14.750000,14.750000,46763405
2018-01-27,14.240000,14.740000,13.860000,14.380000,14.380000,38578052
2018-01-26,14.250000,14.800000,12.810000,14.240000,14.240000,74893464
2018-01-25,13.900000,15.090000,13.470000,14.250000,14.250000,90728372
2018-01-24,12.880000,13.970000,12.510000,13.900000,13.900000,58178915
2018-01-23,13.380000,13.920000,11.600000,12.880000,12.880000,117889152
2018-01-22,13.470000,15.140000,12.450000,13.380000,13.380000,162529908
2018-01-21,15.510000,15.570000,12.000000,13.470000,13.470000,149233104
2018-01-20,11.070000,15.750000,11.040000,15.530000,15.530000,144827267
2018-01-19,10.180000,11.430000,9.740000,11.070000,11.070000,48673168
2018-01-18,10.150000,11.470000,9.650000,10.180000,10.180000,60490149
2018-01-17,10.000000,10.560000,7.500000,10.150000,10.150000,103387986
2018-01-16,12.780000,12.980000,8.310000,10.000000,10.000000,158929640
2018-01-15,13.230000,14.700000,12.680000,12.780000,12.780000,61599316
2018-01-14,16.000000,16.129999,12.900000,13.230000,13.230000,98670786
2018-01-13,13.800000,18.670000,13.430000,16.000000,16.000000,294136188
